Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
輝く,かがやく,かがやかない,かがやいた,かがやかなかった,かがやきます,かがやきません,かがやきました,かがやきません でした,かがやける,かがやけない,かがやいて,かがやかないで,かがやけ,かがやく な,かがやこう,,かがやけば,かがやかなければ,かがやかせる,かがやかせない,かがやいちゃう,,かがやいちまう,,かがやき,,かがやきなさい,,かがやかれる,かがやかれない,かがやいたら,かがやかなかったら,2192.0,指す,さす
招く,まねく,まねかない,まねいた,まねかなかった,まねきます,まねきません,まねきました,まねきません でした,まねける,まねけない,まねいて,まねかないで,まねけ,まねく な,まねこう,,まねけば,まねかなければ,まねかせる,まねかせない,まねいちゃう,,まねいちまう,,まねき,,まねきなさい,,まねかれる,まねかれない,まねいたら,まねかなかったら,,,
寄せる,よせる,よせない,よせた,よせなかった,よせます,よせません,よせました,よせません でした,よせられる,よせられない,よせて,よせないで,よせよ,よせる な,よせよう,,よせれば,よせなければ,よせさせる,よせさせない,よせちゃう,,よせちまう,,よせ,,よせなさい,,よせられる,よせられない,よせたら,よせなかったら,2225.0,狙う,ねらう
抑える,おさえる,おさえない,おさえた,おさえなかった,おさえます,おさえません,おさえました,おさえません でした,おさえられる,おさえられない,おさえて,おさえないで,おさえよ,おさえる な,おさえよう,,おさえれば,おさえなければ,おさえさせる,おさえさせない,おさえちゃう,,おさえちまう,,おさえ,,おさえなさい,,おさえられる,おさえられない,おさえたら,おさえなかったら,2239.0,救う,すくう
沿う,そう,そわない,そった,そわなかった,そいます,そいません,そいました,そいません でした,そえる,そえない,そって,そわないで,そえ,そう な,そおう,,そえば,そわなければ,そわせる,そわせない,そっちゃう,,そっちまう,,そい,,そいなさい,,そわれる,そわれない,そったら,そわなかったら,2251.0,満たす,みたす
あふれる,あふれる,あふれない,あふれた,あふれなかった,あふれます,あふれません,あふれました,あふれません でした,あふれられる,あふれられない,あふれて,あふれないで,あふれよ,あふれる な,あふれよう,,あふれれば,あふれなければ,あふれさせる,あふれさせない,あふれちゃう,,あふれちまう,,あふれ,,あふれなさい,,あふれられる,あふれられない,あふれたら,あふれなかったら,2256.0,伸びる,のびる
すく,すく,すかない,すいた,すかなかった,すきます,すきません,すきました,すきません でした,すける,すけない,すいて,すかないで,すけ,すく な,すこう,,すけば,すかなければ,すかせる,すかせない,すいちゃう,,すいちまう,,すき,,すきなさい,,すかれる,すかれない,すいたら,すかなかったら,2272.0,説く,とく
光る,ひかる,ひからない,ひかった,ひからなかった,ひかります,ひかりません,ひかりました,ひかりません でした,ひかれる,ひかれない,ひかって,ひからないで,ひかれ,ひかる な,ひかろう,,ひかれば,ひからなければ,ひからせる,ひからせない,ひかっちゃう,,ひかっちまう,,ひかり,,ひかりなさい,,ひかられる,ひかられない,ひかったら,ひからなかったら,2273.0,貸す,かす
促す,うながす,うながさない,うながした,うながさなかった,うながします,うながしません,うながしました,うながしません でした,うながせる,うながせない,うながして,うながさないで,うながせ,うながす な,うながそう,,うながせば,うながさなければ,うながさせる,うながさせない,うながしちゃう,,うながしちまう,,うながし,,うながしなさい,,うながされる,うながされない,うながしたら,うながさなかったら,2276.0,加わる,くわわる
込める,こめる,こめない,こめた,こめなかった,こめます,こめません,こめました,こめません でした,こめられる,こめられない,こめて,こめないで,こめよ,こめる な,こめよう,,こめれば,こめなければ,こめさせる,こめさせない,こめちゃう,,こめちまう,,こめ,,こめなさい,,こめられる,こめられない,こめたら,こめなかったら,2276.0,絶える,たえる
囲む,かこむ,かこまない,かこんだ,かこまなかった,かこみます,かこみません,かこみました,かこみません でした,かこめる,かこめない,かこんで,かこまないで,かこめ,かこむ な,かこもう,,かこめば,かこまなければ,かこませる,かこませない,かこんじゃう,,かこんじまう,,かこみ,,かこみなさい,,かこまれる,かこまれない,かこんだら,かこまなかったら,2295.0,覆う,おおう
塗る,ぬる,ぬらない,ぬった,ぬらなかった,ぬります,ぬりません,ぬりました,ぬりません でした,ぬれる,ぬれない,ぬって,ぬらないで,ぬれ,ぬる な,ぬろう,,ぬれば,ぬらなければ,ぬらせる,ぬらせない,ぬっちゃう,,ぬっちまう,,ぬり,,ぬりなさい,,ぬられる,ぬられない,ぬったら,ぬらなかったら,2295.0,務める,つとめる
防ぐ,ふせぐ,ふせがない,ふせいだ,ふせがなかった,ふせぎます,ふせぎません,ふせぎました,ふせぎません でした,ふせげる,ふせげない,ふせいで,ふせがないで,ふせげ,ふせぐ な,ふせごう,,ふせげば,ふせがなければ,ふせがせる,ふせがせない,ふせいじゃう,,ふせいじまう,,ふせぎ,,ふせぎなさい,,ふせがれる,ふせがれない,ふせいだら,ふせがなかったら,2305.0,利く,きく
抑える,おさえる,おさえない,おさえた,おさえなかった,おさえます,おさえません,おさえました,おさえません でした,おさえられる,おさえられない,おさえて,おさえないで,おさえよ,おさえる な,おさえよう,,おさえれば,おさえなければ,おさえさせる,おさえさせない,おさえちゃう,,おさえちまう,,おさえ,,おさえなさい,,おさえられる,おさえられない,おさえたら,おさえなかったら,2311.0,分かれる,わかれる
注ぐ,つぐ,つがない,ついだ,つがなかった,つぎます,つぎません,つぎました,つぎません でした,つげる,つげない,ついで,つがないで,つげ,つぐ な,つごう,,つげば,つがなければ,つがせる,つがせない,ついじゃう,,ついじまう,,つぎ,,つぎなさい,,つがれる,つがれない,ついだら,つがなかったら,2319.0,下る,くだる
引っ張る,ひっぱる,ひっぱらない,ひっぱった,ひっぱらなかった,ひっぱります,ひっぱりません,ひっぱりました,ひっぱりません でした,ひっぱれる,ひっぱれない,ひっぱって,ひっぱらないで,ひっぱれ,ひっぱる な,ひっぱろう,,ひっぱれば,ひっぱらなければ,ひっぱらせる,ひっぱらせない,ひっぱっちゃう,,ひっぱっちまう,,ひっぱり,,ひっぱりなさい,,ひっぱられる,ひっぱられない,ひっぱったら,ひっぱらなかったら,2329.0,止む,やむ
切れる,きれる,きれない,きれた,きれなかった,きれます,きれません,きれました,きれません でした,きれられる,きれられない,きれて,きれないで,きれよ,きれる な,きれよう,,きれれば,きれなければ,きれさせる,きれさせない,きれちゃう,,きれちまう,,きれ,,きれなさい,,きれられる,きれられない,きれたら,きれなかったら,2329.0,見掛ける,みかける
陥る,おちいる,おちいらない,おちいった,おちいらなかった,おちいります,おちいりません,おちいりました,おちいりません でした,おちいれる,おちいれない,おちいって,おちいらないで,おちいれ,おちいる な,おちいろう,,おちいれば,おちいらなければ,おちいらせる,おちいらせない,おちいっちゃう,,おちいっちまう,,おちいり,,おちいりなさい,,おちいられる,おちいられない,おちいったら,おちいらなかったら,2334.0,窺う,うかがう
数える,かぞえる,かぞえない,かぞえた,かぞえなかった,かぞえます,かぞえません,かぞえました,かぞえません でした,かぞえられる,かぞえられない,かぞえて,かぞえないで,かぞえよ,かぞえる な,かぞえよう,,かぞえれば,かぞえなければ,かぞえさせる,かぞえさせない,かぞえちゃう,,かぞえちまう,,かぞえ,,かぞえなさい,,かぞえられる,かぞえられない,かぞえたら,かぞえなかったら,2337.0,輝く,かがやく
隠れる,かくれる,かくれない,かくれた,かくれなかった,かくれます,かくれません,かくれました,かくれません でした,かくれられる,かくれられない,かくれて,かくれないで,かくれよ,かくれる な,かくれよう,,かくれれば,かくれなければ,かくれさせる,かくれさせない,かくれちゃう,,かくれちまう,,かくれ,,かくれなさい,,かくれられる,かくれられない,かくれたら,かくれなかったら,2343.0,招く,まねく
咲く,さく,さかない,さいた,さかなかった,さきます,さきません,さきました,さきません でした,さける,さけない,さいて,さかないで,さけ,さく な,さこう,,さけば,さかなければ,さかせる,さかせない,さいちゃう,,さいちまう,,さき,,さきなさい,,さかれる,さかれない,さいたら,さかなかったら,2379.0,寄せる,よせる
高まる,たかまる,たかまらない,たかまった,たかまらなかった,たかまります,たかまりません,たかまりました,たかまりません でした,たかまれる,たかまれない,たかまって,たかまらないで,たかまれ,たかまる な,たかまろう,,たかまれば,たかまらなければ,たかまらせる,たかまらせない,たかまっちゃう,,たかまっちまう,,たかまり,,たかまりなさい,,たかまられる,たかまられない,たかまったら,たかまらなかったら,2384.0,抑える,おさえる
備える,そなえる,そなえない,そなえた,そなえなかった,そなえます,そなえません,そなえました,そなえません でした,そなえられる,そなえられない,そなえて,そなえないで,そなえよ,そなえる な,そなえよう,,そなえれば,そなえなければ,そなえさせる,そなえさせない,そなえちゃう,,そなえちまう,,そなえ,,そなえなさい,,そなえられる,そなえられない,そなえたら,そなえなかったら,2384.0,沿う,そう
作り出す,つくりだす,つくりださない,つくりだした,つくりださなかった,つくりだします,つくりだしません,つくりだしました,つくりだしません でした,つくりだせる,つくりだせない,つくりだして,つくりださないで,つくりだせ,つくりだす な,つくりだそう,,つくりだせば,つくりださなければ,つくりださせる,つくりださせない,つくりだしちゃう,,つくりだしちまう,,つくりだし,,つくりだしなさい,,つくりだされる,つくりだされない,つくりだしたら,つくりださなかったら,2394.0,溢れる,あふれる
見いだす,みいだす,みいださない,みいだした,みいださなかった,みいだします,みいだしません,みいだしました,みいだしません でした,みいだせる,みいだせない,みいだして,みいださないで,みいだせ,みいだす な,みいだそう,,みいだせば,みいださなければ,みいださせる,みいださせない,みいだしちゃう,,みいだしちまう,,みいだし,,みいだしなさい,,みいだされる,みいだされない,みいだしたら,みいださなかったら,2401.0,空く,すく
浮かべる,うかべる,うかべない,うかべた,うかべなかった,うかべます,うかべません,うかべました,うかべません でした,うかべられる,うかべられない,うかべて,うかべないで,うかべよ,うかべる な,うかべよう,,うかべれば,うかべなければ,うかべさせる,うかべさせない,うかべちゃう,,うかべちまう,,うかべ,,うかべなさい,,うかべられる,うかべられない,うかべたら,うかべなかったら,2408.0,光る,ひかる
申し上げる,もうしあげる,もうしあげない,もうしあげた,もうしあげなかった,もうしあげます,もうしあげません,もうしあげました,もうしあげません でした,もうしあげられる,もうしあげられない,もうしあげて,もうしあげないで,もうしあげよ,もうしあげる な,もうしあげよう,,もうしあげれば,もうしあげなければ,もうしあげさせる,もうしあげさせない,もうしあげちゃう,,もうしあげちまう,,もうしあげ,,もうしあげなさい,,もうしあげられる,もうしあげられない,もうしあげたら,もうしあげなかったら,,,
寄る,よる,よらない,よった,よらなかった,よります,よりません,よりました,よりません でした,よれる,よれない,よって,よらないで,よれ,よる な,よろう,,よれば,よらなければ,よらせる,よらせない,よっちゃう,,よっちまう,,より,,よりなさい,,よられる,よられない,よったら,よらなかったら,2417.0,促す,うながす
味わう,あじわう,あじわわない,あじわった,あじわわなかった,あじわいます,あじわいません,あじわいました,あじわいません でした,あじわえる,あじわえない,あじわって,あじわわないで,あじわえ,あじわう な,あじわおう,,あじわえば,あじわわなければ,あじわわせる,あじわわせない,あじわっちゃう,,あじわっちまう,,あじわい,,あじわいなさい,,あじわわれる,あじわわれない,あじわったら,あじわわなかったら,2419.0,込める,こめる
しかる,しかる,しからない,しかった,しからなかった,しかります,しかりません,しかりました,しかりません でした,しかれる,しかれない,しかって,しからないで,しかれ,しかる な,しかろう,,しかれば,しからなければ,しからせる,しからせない,しかっちゃう,,しかっちまう,,しかり,,しかりなさい,,しかられる,しかられない,しかったら,しからなかったら,,,
やめる,やめる,やめない,やめた,やめなかった,やめます,やめません,やめました,やめません でした,やめられる,やめられない,やめて,やめないで,やめよ,やめる な,やめよう,,やめれば,やめなければ,やめさせる,やめさせない,やめちゃう,,やめちまう,,やめ,,やめなさい,,やめられる,やめられない,やめたら,やめなかったら,2420.0,囲む,かこむ
整える,ととのえる,ととのえない,ととのえた,ととのえなかった,ととのえます,ととのえません,ととのえました,ととのえません でした,ととのえられる,ととのえられない,ととのえて,ととのえないで,ととのえよ,ととのえる な,ととのえよう,,ととのえれば,ととのえなければ,ととのえさせる,ととのえさせない,ととのえちゃう,,ととのえちまう,,ととのえ,,ととのえなさい,,ととのえられる,ととのえられない,ととのえたら,ととのえなかったら,2437.0,塗る,ぬる
増す,ます,まさない,ました,まさなかった,まします,ましません,ましました,ましません でした,ませる,ませない,まして,まさないで,ませ,ます な,まそう,,ませば,まさなければ,まさせる,まさせない,ましちゃう,,ましちまう,,まし,,ましなさい,,まされる,まされない,ましたら,まさなかったら,2437.0,防ぐ,ふせぐ
震える,ふるえる,ふるえない,ふるえた,ふるえなかった,ふるえます,ふるえません,ふるえました,ふるえません でした,ふるえられる,ふるえられない,ふるえて,ふるえないで,ふるえよ,ふるえる な,ふるえよう,,ふるえれば,ふるえなければ,ふるえさせる,ふるえさせない,ふるえちゃう,,ふるえちまう,,ふるえ,,ふるえなさい,,ふるえられる,ふるえられない,ふるえたら,ふるえなかったら,,,
代わる,かわる,かわらない,かわった,かわらなかった,かわります,かわりません,かわりました,かわりません でした,かわれる,かわれない,かわって,かわらないで,かわれ,かわる な,かわろう,,かわれば,かわらなければ,かわらせる,かわらせない,かわっちゃう,,かわっちまう,,かわり,,かわりなさい,,かわられる,かわられない,かわったら,かわらなかったら,2443.0,押さえる,おさえる
たどる,たどる,たどらない,たどった,たどらなかった,たどります,たどりません,たどりました,たどりません でした,たどれる,たどれない,たどって,たどらないで,たどれ,たどる な,たどろう,,たどれば,たどらなければ,たどらせる,たどらせない,たどっちゃう,,たどっちまう,,たどり,,たどりなさい,,たどられる,たどられない,たどったら,たどらなかったら,2447.0,注ぐ,そそぐ
試す,ためす,ためさない,ためした,ためさなかった,ためします,ためしません,ためしました,ためしません でした,ためせる,ためせない,ためして,ためさないで,ためせ,ためす な,ためそう,,ためせば,ためさなければ,ためさせる,ためさせない,ためしちゃう,,ためしちまう,,ためし,,ためしなさい,,ためされる,ためされない,ためしたら,ためさなかったら,2459.0,引っ張る,ひっぱる
吹く,ふく,ふかない,ふいた,ふかなかった,ふきます,ふきません,ふきました,ふきません でした,ふける,ふけない,ふいて,ふかないで,ふけ,ふく な,ふこう,,ふけば,ふかなければ,ふかせる,ふかせない,ふいちゃう,,ふいちまう,,ふき,,ふきなさい,,ふかれる,ふかれない,ふいたら,ふかなかったら,2469.0,切れる,きれる
好む,このむ,このまない,このんだ,このまなかった,このみます,このみません,このみました,このみません でした,このめる,このめない,このんで,このまないで,このめ,このむ な,このもう,,このめば,このまなければ,このませる,このませない,このんじゃう,,このんじまう,,このみ,,このみなさい,,このまれる,このまれない,このんだら,このまなかったら,2474.0,陥る,おちいる
踊る,おどる,おどらない,おどった,おどらなかった,おどります,おどりません,おどりました,おどりません でした,おどれる,おどれない,おどって,おどらないで,おどれ,おどる な,おどろう,,おどれば,おどらなければ,おどらせる,おどらせない,おどっちゃう,,おどっちまう,,おどり,,おどりなさい,,おどられる,おどられない,おどったら,おどらなかったら,2486.0,数える,かぞえる
巻く,まく,まかない,まいた,まかなかった,まきます,まきません,まきました,まきません でした,まける,まけない,まいて,まかないで,まけ,まく な,まこう,,まけば,まかなければ,まかせる,まかせない,まいちゃう,,まいちまう,,まき,,まきなさい,,まかれる,まかれない,まいたら,まかなかったら,2498.0,隠れる,かくれる
積む,つむ,つまない,つんだ,つまなかった,つみます,つみません,つみました,つみません でした,つめる,つめない,つんで,つまないで,つめ,つむ な,つもう,,つめば,つまなければ,つませる,つませない,つんじゃう,,つんじまう,,つみ,,つみなさい,,つまれる,つまれない,つんだら,つまなかったら,2501.0,咲く,さく
増やす,ふやす,ふやさない,ふやした,ふやさなかった,ふやします,ふやしません,ふやしました,ふやしません でした,ふやせる,ふやせない,ふやして,ふやさないで,ふやせ,ふやす な,ふやそう,,ふやせば,ふやさなければ,ふやさせる,ふやさせない,ふやしちゃう,,ふやしちまう,,ふやし,,ふやしなさい,,ふやされる,ふやされない,ふやしたら,ふやさなかったら,2505.0,高まる,たかまる
やせる,やせる,やせない,やせた,やせなかった,やせます,やせません,やせました,やせません でした,やせられる,やせられない,やせて,やせないで,やせよ,やせる な,やせよう,,やせれば,やせなければ,やせさせる,やせさせない,やせちゃう,,やせちまう,,やせ,,やせなさい,,やせられる,やせられない,やせたら,やせなかったら,2529.0,備える,そなえる
飾る,かざる,かざらない,かざった,かざらなかった,かざります,かざりません,かざりました,かざりません でした,かざれる,かざれない,かざって,かざらないで,かざれ,かざる な,かざろう,,かざれば,かざらなければ,かざらせる,かざらせない,かざっちゃう,,かざっちまう,,かざり,,かざりなさい,,かざられる,かざられない,かざったら,かざらなかったら,2529.0,作り出す,つくりだす
飼う,かう,かわない,かった,かわなかった,かいます,かいません,かいました,かいません でした,かえる,かえない,かって,かわないで,かえ,かう な,かおう,,かえば,かわなければ,かわせる,かわせない,かっちゃう,,かっちまう,,かい,,かいなさい,,かわれる,かわれない,かったら,かわなかったら,2533.0,見出だす,みいだす
そろう,そろう,そろわない,そろった,そろわなかった,そろいます,そろいません,そろいました,そろいません でした,そろえる,そろえない,そろって,そろわないで,そろえ,そろう な,そろおう,,そろえば,そろわなければ,そろわせる,そろわせない,そろっちゃう,,そろっちまう,,そろい,,そろいなさい,,そろわれる,そろわれない,そろったら,そろわなかったら,2533.0,浮かべる,うかべる
かむ,かむ,かまない,かんだ,かまなかった,かみます,かみません,かみました,かみません でした,かめる,かめない,かんで,かまないで,かめ,かむ な,かもう,,かめば,かまなければ,かませる,かませない,かんじゃう,,かんじまう,,かみ,,かみなさい,,かまれる,かまれない,かんだら,かまなかったら,2537.0,申し上げる,もうしあげる
たまる,たまる,たまらない,たまった,たまらなかった,たまります,たまりません,たまりました,たまりません でした,たまれる,たまれない,たまって,たまらないで,たまれ,たまる な,たまろう,,たまれば,たまらなければ,たまらせる,たまらせない,たまっちゃう,,たまっちまう,,たまり,,たまりなさい,,たまられる,たまられない,たまったら,たまらなかったら,2542.0,寄る,よる
測る,はかる,はからない,はかった,はからなかった,はかります,はかりません,はかりました,はかりません でした,はかれる,はかれない,はかって,はからないで,はかれ,はかる な,はかろう,,はかれば,はからなければ,はからせる,はからせない,はかっちゃう,,はかっちまう,,はかり,,はかりなさい,,はかられる,はかられない,はかったら,はからなかったら,2542.0,味わう,あじわう
頼る,たよる,たよらない,たよった,たよらなかった,たよります,たよりません,たよりました,たよりません でした,たよれる,たよれない,たよって,たよらないで,たよれ,たよる な,たよろう,,たよれば,たよらなければ,たよらせる,たよらせない,たよっちゃう,,たよっちまう,,たより,,たよりなさい,,たよられる,たよられない,たよったら,たよらなかったら,2554.0,叱る,しかる
嫌う,きらう,きらわない,きらった,きらわなかった,きらいます,きらいません,きらいました,きらいません でした,きらえる,きらえない,きらって,きらわないで,きらえ,きらう な,きらおう,,きらえば,きらわなければ,きらわせる,きらわせない,きらっちゃう,,きらっちまう,,きらい,,きらいなさい,,きらわれる,きらわれない,きらったら,きらわなかったら,2558.0,辞める,やめる
治る,なおる,なおらない,なおった,なおらなかった,なおります,なおりません,なおりました,なおりません でした,なおれる,なおれない,なおって,なおらないで,なおれ,なおる な,なおろう,,なおれば,なおらなければ,なおらせる,なおらせない,なおっちゃう,,なおっちまう,,なおり,,なおりなさい,,なおられる,なおられない,なおったら,なおらなかったら,2567.0,整える,ととのえる
探る,さぐる,さぐらない,さぐった,さぐらなかった,さぐります,さぐりません,さぐりました,さぐりません でした,さぐれる,さぐれない,さぐって,さぐらないで,さぐれ,さぐる な,さぐろう,,さぐれば,さぐらなければ,さぐらせる,さぐらせない,さぐっちゃう,,さぐっちまう,,さぐり,,さぐりなさい,,さぐられる,さぐられない,さぐったら,さぐらなかったら,2588.0,増す,ます
満ちる,みちる,みちない,みちた,みちなかった,みちます,みちません,みちました,みちません でした,みちられる,みちられない,みちて,みちないで,みちよ,みちる な,みちよう,,みちれば,みちなければ,みちさせる,みちさせない,みちちゃう,,みちちまう,,みち,,みちなさい,,みちられる,みちられない,みちたら,みちなかったら,2594.0,震える,ふるえる
映る,うつる,うつらない,うつった,うつらなかった,うつります,うつりません,うつりました,うつりません でした,うつれる,うつれない,うつって,うつらないで,うつれ,うつる な,うつろう,,うつれば,うつらなければ,うつらせる,うつらせない,うつっちゃう,,うつっちまう,,うつり,,うつりなさい,,うつられる,うつられない,うつったら,うつらなかったら,2596.0,代わる,かわる
踏む,ふむ,ふまない,ふんだ,ふまなかった,ふみます,ふみません,ふみました,ふみません でした,ふめる,ふめない,ふんで,ふまないで,ふめ,ふむ な,ふもう,,ふめば,ふまなければ,ふませる,ふませない,ふんじゃう,,ふんじまう,,ふみ,,ふみなさい,,ふまれる,ふまれない,ふんだら,ふまなかったら,2601.0,辿る,たどる
つく,つく,つかない,ついた,つかなかった,つきます,つきません,つきました,つきません でした,つける,つけない,ついて,つかないで,つけ,つく な,つこう,,つけば,つかなければ,つかせる,つかせない,ついちゃう,,ついちまう,,つき,,つきなさい,,つかれる,つかれない,ついたら,つかなかったら,2604.0,試す,ためす
触る,さわる,さわらない,さわった,さわらなかった,さわります,さわりません,さわりました,さわりません でした,さわれる,さわれない,さわって,さわらないで,さわれ,さわる な,さわろう,,さわれば,さわらなければ,さわらせる,さわらせない,さわっちゃう,,さわっちまう,,さわり,,さわりなさい,,さわられる,さわられない,さわったら,さわらなかったら,2613.0,吹く,ふく
あう,あう,あわない,あった,あわなかった,あいます,あいません,あいました,あいません でした,あえる,あえない,あって,あわないで,あえ,あう な,あおう,,あえば,あわなければ,あわせる,あわせない,あっちゃう,,あっちまう,,あい,,あいなさい,,あわれる,あわれない,あったら,あわなかったら,2613.0,好む,このむ
たまる,たまる,たまらない,たまった,たまらなかった,たまります,たまりません,たまりました,たまりません でした,たまれる,たまれない,たまって,たまらないで,たまれ,たまる な,たまろう,,たまれば,たまらなければ,たまらせる,たまらせない,たまっちゃう,,たまっちまう,,たまり,,たまりなさい,,たまられる,たまられない,たまったら,たまらなかったら,2618.0,踊る,おどる
泊まる,とまる,とまらない,とまった,とまらなかった,とまります,とまりません,とまりました,とまりません でした,とまれる,とまれない,とまって,とまらないで,とまれ,とまる な,とまろう,,とまれば,とまらなければ,とまらせる,とまらせない,とまっちゃう,,とまっちまう,,とまり,,とまりなさい,,とまられる,とまられない,とまったら,とまらなかったら,2632.0,巻く,まく
混ぜる,まぜる,まぜない,まぜた,まぜなかった,まぜます,まぜません,まぜました,まぜません でした,まぜられる,まぜられない,まぜて,まぜないで,まぜよ,まぜる な,まぜよう,,まぜれば,まぜなければ,まぜさせる,まぜさせない,まぜちゃう,,まぜちまう,,まぜ,,まぜなさい,,まぜられる,まぜられない,まぜたら,まぜなかったら,2637.0,積む,つむ
飛び出す,とびだす,とびださない,とびだした,とびださなかった,とびだします,とびだしません,とびだしました,とびだしません でした,とびだせる,とびだせない,とびだして,とびださないで,とびだせ,とびだす な,とびだそう,,とびだせば,とびださなければ,とびださせる,とびださせない,とびだしちゃう,,とびだしちまう,,とびだし,,とびだしなさい,,とびだされる,とびだされない,とびだしたら,とびださなかったら,2640.0,増やす,ふやす
埋める,うめる,うめない,うめた,うめなかった,うめます,うめません,うめました,うめません でした,うめられる,うめられない,うめて,うめないで,うめよ,うめる な,うめよう,,うめれば,うめなければ,うめさせる,うめさせない,うめちゃう,,うめちまう,,うめ,,うめなさい,,うめられる,うめられない,うめたら,うめなかったら,2656.0,痩せる,やせる
ほめる,ほめる,ほめない,ほめた,ほめなかった,ほめます,ほめません,ほめました,ほめません でした,ほめられる,ほめられない,ほめて,ほめないで,ほめよ,ほめる な,ほめよう,,ほめれば,ほめなければ,ほめさせる,ほめさせない,ほめちゃう,,ほめちまう,,ほめ,,ほめなさい,,ほめられる,ほめられない,ほめたら,ほめなかったら,2675.0,飾る,かざる
収める,おさめる,おさめない,おさめた,おさめなかった,おさめます,おさめません,おさめました,おさめません でした,おさめられる,おさめられない,おさめて,おさめないで,おさめよ,おさめる な,おさめよう,,おさめれば,おさめなければ,おさめさせる,おさめさせない,おさめちゃう,,おさめちまう,,おさめ,,おさめなさい,,おさめられる,おさめられない,おさめたら,おさめなかったら,2676.0,飼う,かう
見上げる,みあげる,みあげない,みあげた,みあげなかった,みあげます,みあげません,みあげました,みあげません でした,みあげられる,みあげられない,みあげて,みあげないで,みあげよ,みあげる な,みあげよう,,みあげれば,みあげなければ,みあげさせる,みあげさせない,みあげちゃう,,みあげちまう,,みあげ,,みあげなさい,,みあげられる,みあげられない,みあげたら,みあげなかったら,2676.0,揃う,そろう
さらす,さらす,さらさない,さらした,さらさなかった,さらします,さらしません,さらしました,さらしません でした,さらせる,さらせない,さらして,さらさないで,さらせ,さらす な,さらそう,,さらせば,さらさなければ,さらさせる,さらさせない,さらしちゃう,,さらしちまう,,さらし,,さらしなさい,,さらされる,さらされない,さらしたら,さらさなかったら,2681.0,噛む,かむ
放つ,はなつ,はなたない,はなった,はなたなかった,はなちます,はなちません,はなちました,はなちません でした,はなてる,はなてない,はなって,はなたないで,はなて,はなつ な,はなとう,,はなてば,はなたなければ,はなたせる,はなたせない,はなっちゃう,,はなっちまう,,はなち,,はなちなさい,,はなたれる,はなたれない,はなったら,はなたなかったら,2689.0,堪る,たまる
勤める,つとめる,つとめない,つとめた,つとめなかった,つとめます,つとめません,つとめました,つとめません でした,つとめられる,つとめられない,つとめて,つとめないで,つとめよ,つとめる な,つとめよう,,つとめれば,つとめなければ,つとめさせる,つとめさせない,つとめちゃう,,つとめちまう,,つとめ,,つとめなさい,,つとめられる,つとめられない,つとめたら,つとめなかったら,2699.0,測る,はかる
解く,ほどく,ほどかない,ほどいた,ほどかなかった,ほどきます,ほどきません,ほどきました,ほどきません でした,ほどける,ほどけない,ほどいて,ほどかないで,ほどけ,ほどく な,ほどこう,,ほどけば,ほどかなければ,ほどかせる,ほどかせない,ほどいちゃう,,ほどいちまう,,ほどき,,ほどきなさい,,ほどかれる,ほどかれない,ほどいたら,ほどかなかったら,2707.0,頼る,たよる
浴びる,あびる,あびない,あびた,あびなかった,あびます,あびません,あびました,あびません でした,あびられる,あびられない,あびて,あびないで,あびよ,あびる な,あびよう,,あびれば,あびなければ,あびさせる,あびさせない,あびちゃう,,あびちまう,,あび,,あびなさい,,あびられる,あびられない,あびたら,あびなかったら,2730.0,嫌う,きらう
成り立つ,なりたつ,なりたたない,なりたった,なりたたなかった,なりたちます,なりたちません,なりたちました,なりたちません でした,なりたてる,なりたてない,なりたって,なりたたないで,なりたて,なりたつ な,なりたとう,,なりたてば,なりたたなければ,なりたたせる,なりたたせない,なりたっちゃう,,なりたっちまう,,なりたち,,なりたちなさい,,なりたたれる,なりたたれない,なりたったら,なりたたなかったら,2735.0,治る,なおる
ふく,ふく,ふかない,ふいた,ふかなかった,ふきます,ふきません,ふきました,ふきません でした,ふける,ふけない,ふいて,ふかないで,ふけ,ふく な,ふこう,,ふけば,ふかなければ,ふかせる,ふかせない,ふいちゃう,,ふいちまう,,ふき,,ふきなさい,,ふかれる,ふかれない,ふいたら,ふかなかったら,2740.0,探る,さぐる
漂う,ただよう,ただよわない,ただよった,ただよわなかった,ただよいます,ただよいません,ただよいました,ただよいません でした,ただよえる,ただよえない,ただよって,ただよわないで,ただよえ,ただよう な,ただよおう,,ただよえば,ただよわなければ,ただよわせる,ただよわせない,ただよっちゃう,,ただよっちまう,,ただよい,,ただよいなさい,,ただよわれる,ただよわれない,ただよったら,ただよわなかったら,2752.0,満ちる,みちる
苦しむ,くるしむ,くるしまない,くるしんだ,くるしまなかった,くるしみます,くるしみません,くるしみました,くるしみません でした,くるしめる,くるしめない,くるしんで,くるしまないで,くるしめ,くるしむ な,くるしもう,,くるしめば,くるしまなければ,くるしませる,くるしませない,くるしんじゃう,,くるしんじまう,,くるしみ,,くるしみなさい,,くるしまれる,くるしまれない,くるしんだら,くるしまなかったら,2754.0,映る,うつる
