Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
疲れる,つかれる,つかれない,つかれた,つかれなかった,つかれます,つかれません,つかれました,つかれません でした,つかれられる,つかれられない,つかれて,つかれないで,つかれよ,つかれる な,つかれよう,,つかれれば,つかれなければ,つかれさせる,つかれさせない,つかれちゃう,,つかれちまう,,つかれ,,つかれなさい,,つかれられる,つかれられない,つかれたら,つかれなかったら,1502.0,通う,かよう
着く,はく,はかない,はいた,はかなかった,はきます,はきません,はきました,はきません でした,はける,はけない,はいて,はかないで,はけ,はく な,はこう,,はけば,はかなければ,はかせる,はかせない,はいちゃう,,はいちまう,,はき,,はきなさい,,はかれる,はかれない,はいたら,はかなかったら,1514.0,見付かる,みつかる
しゃべる,しゃべる,しゃべらない,しゃべった,しゃべらなかった,しゃべります,しゃべりません,しゃべりました,しゃべりません でした,しゃべれる,しゃべれない,しゃべって,しゃべらないで,しゃべれ,しゃべる な,しゃべろう,,しゃべれば,しゃべらなければ,しゃべらせる,しゃべらせない,しゃべっちゃう,,しゃべっちまう,,しゃべり,,しゃべりなさい,,しゃべられる,しゃべられない,しゃべったら,しゃべらなかったら,1550.0,上る,のぼる
なれる,なれる,なれない,なれた,なれなかった,なれます,なれません,なれました,なれません でした,なれられる,なれられない,なれて,なれないで,なれよ,なれる な,なれよう,,なれれば,なれなければ,なれさせる,なれさせない,なれちゃう,,なれちまう,,なれ,,なれなさい,,なれられる,なれられない,なれたら,なれなかったら,1553.0,亡くなる,なくなる
流す,ながす,ながさない,ながした,ながさなかった,ながします,ながしません,ながしました,ながしません でした,ながせる,ながせない,ながして,ながさないで,ながせ,ながす な,ながそう,,ながせば,ながさなければ,ながさせる,ながさせない,ながしちゃう,,ながしちまう,,ながし,,ながしなさい,,ながされる,ながされない,ながしたら,ながさなかったら,1557.0,落ち着く,おちつく
握る,にぎる,にぎらない,にぎった,にぎらなかった,にぎります,にぎりません,にぎりました,にぎりません でした,にぎれる,にぎれない,にぎって,にぎらないで,にぎれ,にぎる な,にぎろう,,にぎれば,にぎらなければ,にぎらせる,にぎらせない,にぎっちゃう,,にぎっちまう,,にぎり,,にぎりなさい,,にぎられる,にぎられない,にぎったら,にぎらなかったら,1558.0,纏める,まとめる
減る,へる,へらない,へった,へらなかった,へります,へりません,へりました,へりません でした,へれる,へれない,へって,へらないで,へれ,へる な,へろう,,へれば,へらなければ,へらせる,へらせない,へっちゃう,,へっちまう,,へり,,へりなさい,,へられる,へられない,へったら,へらなかったら,1561.0,抜ける,ぬける
下げる,さげる,さげない,さげた,さげなかった,さげます,さげません,さげました,さげません でした,さげられる,さげられない,さげて,さげないで,さげよ,さげる な,さげよう,,さげれば,さげなければ,さげさせる,さげさせない,さげちゃう,,さげちまう,,さげ,,さげなさい,,さげられる,さげられない,さげたら,さげなかったら,1561.0,取り上げる,とりあげる
占める,しめる,しめない,しめた,しめなかった,しめます,しめません,しめました,しめません でした,しめられる,しめられない,しめて,しめないで,しめよ,しめる な,しめよう,,しめれば,しめなければ,しめさせる,しめさせない,しめちゃう,,しめちまう,,しめ,,しめなさい,,しめられる,しめられない,しめたら,しめなかったら,1580.0,構う,かまう
優れる,すぐれる,すぐれない,すぐれた,すぐれなかった,すぐれます,すぐれません,すぐれました,すぐれません でした,すぐれられる,すぐれられない,すぐれて,すぐれないで,すぐれよ,すぐれる な,すぐれよう,,すぐれれば,すぐれなければ,すぐれさせる,すぐれさせない,すぐれちゃう,,すぐれちまう,,すぐれ,,すぐれなさい,,すぐれられる,すぐれられない,すぐれたら,すぐれなかったら,1584.0,戦う,たたかう
包む,くるむ,くるまない,くるんだ,くるまなかった,くるみます,くるみません,くるみました,くるみません でした,くるめる,くるめない,くるんで,くるまないで,くるめ,くるむ な,くるもう,,くるめば,くるまなければ,くるませる,くるませない,くるんじゃう,,くるんじまう,,くるみ,,くるみなさい,,くるまれる,くるまれない,くるんだら,くるまなかったら,,,
吐く,はく,はかない,はいた,はかなかった,はきます,はきません,はきました,はきません でした,はける,はけない,はいて,はかないで,はけ,はく な,はこう,,はけば,はかなければ,はかせる,はかせない,はいちゃう,,はいちまう,,はき,,はきなさい,,はかれる,はかれない,はいたら,はかなかったら,1589.0,悩む,なやむ
消す,けす,けさない,けした,けさなかった,けします,けしません,けしました,けしません でした,けせる,けせない,けして,けさないで,けせ,けす な,けそう,,けせば,けさなければ,けさせる,けさせない,けしちゃう,,けしちまう,,けし,,けしなさい,,けされる,けされない,けしたら,けさなかったら,1591.0,洗う,あらう
のぞく,のぞく,のぞかない,のぞいた,のぞかなかった,のぞきます,のぞきません,のぞきました,のぞきません でした,のぞける,のぞけない,のぞいて,のぞかないで,のぞけ,のぞく な,のぞこう,,のぞけば,のぞかなければ,のぞかせる,のぞかせない,のぞいちゃう,,のぞいちまう,,のぞき,,のぞきなさい,,のぞかれる,のぞかれない,のぞいたら,のぞかなかったら,1600.0,疲れる,つかれる
勝つ,かつ,かたない,かった,かたなかった,かちます,かちません,かちました,かちません でした,かてる,かてない,かって,かたないで,かて,かつ な,かとう,,かてば,かたなければ,かたせる,かたせない,かっちゃう,,かっちまう,,かち,,かちなさい,,かたれる,かたれない,かったら,かたなかったら,1601.0,着く,つく
